System,\makecell{$\theta_2$\\cross.},\makecell{Reclaim\\vol.\ (MB)},\makecell{FG p99\\frame (ms)},\makecell{FG lat.\\$\Delta$ (\%)}
Baseline (stock),0,0,14.8,---
HMS (this work),1,3,14.9,+0.3
