WL,\makecell{$\theta_2$\\cross.},\makecell{Mispred.\\(count)},\makecell{Mispred.\\rate (\%)},\makecell{Added lat.\\/event (ms)},\makecell{$\Delta$ p99\\frame (ms)}
W1,,,,,
W2,,,,,
W3,,,,,
W4,,,,,
